Fecha cotizacion;Compra;Venta;
2/1/2024;790,2500;830,2500;
3/1/2024;791,0000;831,0000;
4/1/2024;791,5000;831,5000;
5/1/2024;792,0000;832,0000;
8/1/2024;793,5000;833,5000;
9/1/2024;794,0000;834,0000;
10/1/2024;794,5000;834,5000;
11/1/2024;795,0000;835,0000;
12/1/2024;795,5000;835,5000;
15/1/2024;797,2500;837,2500;
16/1/2024;797,7500;837,7500;
17/1/2024;798,2500;838,2500;
18/1/2024;798,7500;838,7500;
19/1/2024;799,2500;839,2500;
22/1/2024;800,7500;840,7500;
23/1/2024;801,2500;841,2500;
24/1/2024;801,7500;841,7500;
25/1/2024;802,2500;842,2500;
26/1/2024;802,7500;842,7500;
29/1/2024;804,5000;844,5000;
30/1/2024;805,0000;845,0000;
31/1/2024;805,5000;845,5000;
1/2/2024;806,0000;846,0000;
2/2/2024;806,5000;846,5000;
5/2/2024;808,0000;848,0000;
6/2/2024;808,5000;848,5000;
7/2/2024;809,0000;849,0000;
8/2/2024;809,5000;849,5000;
9/2/2024;810,0000;850,0000;
14/2/2024;813,0000;853,0000;
15/2/2024;813,5000;853,5000;
16/2/2024;814,0000;854,0000;
19/2/2024;815,5000;855,5000;
20/2/2024;816,0000;856,0000;
21/2/2024;816,5000;856,5000;
22/2/2024;817,0000;857,0000;
23/2/2024;817,5000;857,5000;
26/2/2024;819,5000;859,5000;
27/2/2024;820,0000;860,0000;
28/2/2024;820,5000;860,5000;
29/2/2024;821,0000;861,0000;
1/3/2024;821,5000;861,5000;
4/3/2024;823,0000;863,0000;
5/3/2024;824,0000;864,0000;
6/3/2024;824,5000;864,5000;
7/3/2024;825,0000;865,0000;
8/3/2024;825,5000;865,5000;
11/3/2024;827,0000;867,0000;
12/3/2024;827,5000;867,5000;
13/3/2024;828,5000;868,5000;
14/3/2024;829,0000;869,0000;
15/3/2024;829,5000;869,5000;
18/3/2024;831,0000;871,0000;
19/3/2024;831,5000;871,5000;
20/3/2024;832,0000;872,0000;
21/3/2024;832,5000;872,5000;
22/3/2024;833,5000;873,5000;
25/3/2024;835,0000;875,0000;
26/3/2024;835,5000;875,5000;
27/3/2024;836,0000;876,0000;
3/4/2024;840,0000;880,0000;
4/4/2024;840,5000;880,5000;
5/4/2024;841,5000;881,5000;
8/4/2024;843,0000;883,0000;
9/4/2024;843,5000;883,5000;
10/4/2024;844,0000;884,0000;
11/4/2024;844,5000;884,5000;
12/4/2024;845,5000;885,5000;
15/4/2024;847,0000;887,0000;
16/4/2024;847,5000;887,5000;
17/4/2024;848,0000;888,0000;
18/4/2024;848,5000;888,5000;
19/4/2024;850,0000;890,0000;
22/4/2024;852,0000;892,0000;
23/4/2024;852,0000;892,0000;
24/4/2024;852,5000;892,5000;
25/4/2024;853,0000;893,0000;
26/4/2024;854,0000;894,0000;
29/4/2024;855,5000;895,5000;
30/4/2024;856,0000;896,0000;
2/5/2024;857,0000;897,0000;
3/5/2024;857,5000;897,5000;
6/5/2024;859,0000;899,0000;
7/5/2024;859,5000;899,5000;
8/5/2024;860,5000;900,5000;
9/5/2024;861,0000;901,0000;
10/5/2024;861,5000;901,5000;
13/5/2024;863,0000;903,0000;
14/5/2024;864,0000;904,0000;
15/5/2024;864,5000;904,5000;
16/5/2024;865,0000;905,0000;
17/5/2024;865,5000;905,5000;
20/5/2024;867,5000;907,5000;
21/5/2024;868,0000;908,0000;
22/5/2024;868,5000;908,5000;
23/5/2024;869,0000;909,0000;
24/5/2024;869,5000;909,5000;
27/5/2024;871,5000;911,5000;
28/5/2024;872,5000;912,5000;
29/5/2024;873,0000;913,0000;
30/5/2024;873,0000;913,0000;
31/5/2024;874,0000;914,0000;
3/6/2024;876,0000;916,0000;
4/6/2024;876,5000;916,5000;
5/6/2024;876,5000;916,5000;
6/6/2024;878,0000;918,0000;
7/6/2024;878,0000;918,0000;
10/6/2024;880,5000;920,5000;
11/6/2024;881,0000;921,0000;
12/6/2024;881,5000;921,5000;
13/6/2024;881,5000;921,5000;
14/6/2024;882,0000;922,0000;
18/6/2024;884,0000;924,0000;
19/6/2024;884,5000;924,5000;
24/6/2024;887,0000;927,0000;
25/6/2024;887,5000;927,5000;
26/6/2024;888,0000;928,0000;
27/6/2024;889,5000;929,5000;
28/6/2024;890,5000;930,5000;
1/7/2024;892,5000;932,5000;
2/7/2024;893,0000;933,0000;
3/7/2024;893,5000;933,5000;
4/7/2024;894,0000;934,0000;
5/7/2024;894,5000;934,5000;
8/7/2024;896,5000;936,5000;
10/7/2024;897,5000;937,5000;
11/7/2024;898,0000;938,0000;
12/7/2024;900,0000;940,0000;
15/7/2024;900,5000;940,5000;
16/7/2024;901,0000;941,0000;
17/7/2024;902,0000;942,0000;
18/7/2024;902,5000;942,5000;
19/7/2024;904,5000;944,5000;
22/7/2024;906,0000;946,0000;
23/7/2024;906,0000;946,0000;
24/7/2024;906,5000;946,5000;
25/7/2024;907,5000;947,5000;
26/7/2024;910,0000;950,0000;
29/7/2024;910,5000;950,5000;
30/7/2024;911,0000;951,0000;
31/7/2024;911,5000;951,5000;
1/8/2024;911,5000;951,5000;
2/8/2024;913,5000;953,5000;
5/8/2024;914,0000;954,0000;
6/8/2024;914,5000;954,5000;
7/8/2024;915,5000;955,5000;
8/8/2024;915,5000;955,5000;
9/8/2024;917,5000;957,5000;
12/8/2024;918,0000;958,0000;
13/8/2024;918,5000;958,5000;
14/8/2024;919,0000;959,0000;
15/8/2024;920,0000;960,0000;
16/8/2024;922,0000;962,0000;
19/8/2024;923,0000;963,0000;
20/8/2024;923,0000;963,0000;
21/8/2024;923,5000;963,5000;
22/8/2024;924,0000;964,0000;
23/8/2024;926,0000;966,0000;
26/8/2024;928,0000;968,0000;
27/8/2024;929,5000;969,5000;
28/8/2024;929,5000;969,5000;
29/8/2024;930,0000;970,0000;
30/8/2024;932,0000;972,0000;
2/9/2024;933,0000;973,0000;
3/9/2024;933,0000;973,0000;
4/9/2024;933,5000;973,5000;
5/9/2024;934,0000;974,0000;
6/9/2024;936,5000;976,5000;
9/9/2024;937,0000;977,0000;
10/9/2024;938,0000;978,0000;
11/9/2024;938,0000;978,0000;
12/9/2024;938,5000;978,5000;
13/9/2024;940,5000;980,5000;
16/9/2024;942,0000;982,0000;
17/9/2024;942,0000;982,0000;
18/9/2024;942,0000;982,0000;
19/9/2024;943,5000;983,5000;
20/9/2024;945,0000;985,0000;
23/9/2024;945,5000;985,5000;
24/9/2024;946,0000;986,0000;
25/9/2024;947,0000;987,0000;
26/9/2024;948,5000;988,5000;
27/9/2024;949,5000;989,5000;
30/9/2024;950,0000;990,0000;
1/10/2024;950,5000;990,5000;
2/10/2024;951,0000;991,0000;
3/10/2024;952,5000;992,5000;
4/10/2024;954,0000;994,0000;
7/10/2024;955,0000;995,0000;
8/10/2024;955,5000;995,5000;
9/10/2024;955,5000;995,5000;
10/10/2024;958,5000;998,5000;
14/10/2024;959,5000;999,5000;
15/10/2024;960,0000;1000,0000;
16/10/2024;960,5000;1000,5000;
17/10/2024;961,0000;1001,0000;
18/10/2024;964,0000;1004,0000;
21/10/2024;964,5000;1004,5000;
22/10/2024;964,5000;1004,5000;
23/10/2024;965,0000;1005,0000;
24/10/2024;965,5000;1005,5000;
25/10/2024;967,5000;1007,5000;
28/10/2024;968,0000;1008,0000;
29/10/2024;968,5000;1008,5000;
30/10/2024;969,5000;1009,5000;
31/10/2024;971,5000;1011,5000;
1/11/2024;973,0000;1013,0000;
4/11/2024;973,0000;1013,0000;
5/11/2024;974,0000;1014,0000;
7/11/2024;974,5000;1014,5000;
8/11/2024;976,5000;1016,5000;
11/11/2024;977,5000;1017,5000;
12/11/2024;978,0000;1018,0000;
13/11/2024;978,5000;1018,5000;
14/11/2024;979,0000;1019,0000;
15/11/2024;982,0000;1022,0000;
19/11/2024;982,5000;1022,5000;
20/11/2024;983,0000;1023,0000;
21/11/2024;984,5000;1024,5000;
22/11/2024;986,5000;1026,5000;
25/11/2024;987,0000;1027,0000;
26/11/2024;987,5000;1027,5000;
27/11/2024;988,0000;1028,0000;
28/11/2024;988,5000;1028,5000;
29/11/2024;991,0000;1031,0000;
2/12/2024;992,0000;1032,0000;
3/12/2024;992,5000;1032,5000;
4/12/2024;992,5000;1032,5000;
5/12/2024;993,0000;1033,0000;
6/12/2024;995,0000;1035,0000;
9/12/2024;996,0000;1036,0000;
10/12/2024;996,5000;1036,5000;
11/12/2024;997,0000;1037,0000;
12/12/2024;998,5000;1038,5000;
13/12/2024;1000,0000;1040,0000;
16/12/2024;1002,0000;1042,0000;
17/12/2024;1002,5000;1042,5000;
18/12/2024;1002,5000;1042,5000;
19/12/2024;1002,5000;1042,5000;
20/12/2024;1004,5000;1044,5000;
23/12/2024;1008,0000;1048,0000;
26/12/2024;1009,0000;1049,0000;
27/12/2024;1011,0000;1051,0000;
30/12/2024;1012,5000;1052,5000;
2/1/2025;1012,5000;1052,5000;
3/1/2025;1015,0000;1055,0000;
6/1/2025;1015,0000;1055,0000;
7/1/2025;1015,5000;1055,5000;
8/1/2025;1016,0000;1056,0000;
9/1/2025;1017,0000;1057,0000;
10/1/2025;1019,0000;1059,0000;
13/1/2025;1019,5000;1059,5000;
14/1/2025;1020,5000;1060,5000;
15/1/2025;1021,5000;1061,5000;
16/1/2025;1022,0000;1062,0000;
17/1/2025;1023,5000;1063,5000;
20/1/2025;1026,0000;1066,0000;
21/1/2025;1026,5000;1066,5000;
22/1/2025;1027,5000;1067,5000;
23/1/2025;1028,0000;1068,0000;
24/1/2025;1029,0000;1069,0000;
27/1/2025;1030,0000;1070,0000;
28/1/2025;1030,5000;1070,5000;
29/1/2025;1031,5000;1071,5000;
30/1/2025;1032,0000;1072,0000;
31/1/2025;1033,5000;1073,5000;
3/2/2025;1034,2500;1074,2500;
4/2/2025;1034,5000;1074,5000;
5/2/2025;1034,5000;1074,5000;
6/2/2025;1034,7500;1074,7500;
7/2/2025;1035,7500;1075,7500;
10/2/2025;1036,0000;1076,0000;
11/2/2025;1036,0000;1076,0000;
12/2/2025;1036,2500;1076,2500;
13/2/2025;1037,2500;1077,2500;
14/2/2025;1038,0000;1078,0000;
17/2/2025;1038,7500;1078,7500;
18/2/2025;1039,0000;1079,0000;
19/2/2025;1039,0000;1079,0000;
20/2/2025;1039,2500;1079,2500;
21/2/2025;1040,2500;1080,2500;
24/2/2025;1040,5000;1080,5000;
25/2/2025;1041,0000;1081,0000;
26/2/2025;1041,2500;1081,2500;
27/2/2025;1041,7500;1081,7500;
28/2/2025;1044,2500;1084,2500;
5/3/2025;1044,5000;1084,5000;
6/3/2025;1044,5000;1084,5000;
7/3/2025;1046,0000;1086,0000;
10/3/2025;1046,2500;1086,2500;
11/3/2025;1046,2500;1086,2500;
12/3/2025;1046,2500;1086,2500;
13/3/2025;1046,5000;1086,5000;
14/3/2025;1048,0000;1088,0000;
17/3/2025;1048,2500;1088,2500;
18/3/2025;1048,5000;1088,5000;
19/3/2025;1049,2500;1089,2500;
20/3/2025;1049,5000;1089,5000;
21/3/2025;1051,0000;1091,0000;
25/3/2025;1051,2500;1091,2500;
26/3/2025;1051,5000;1091,5000;
27/3/2025;1051,7500;1091,7500;
28/3/2025;1053,0000;1093,0000;
31/3/2025;1053,5000;1093,5000;
1/4/2025;1054,2500;1094,2500;
3/4/2025;1054,5000;1094,5000;
4/4/2025;1055,5000;1095,5000;
7/4/2025;1055,7500;1095,7500;
8/4/2025;1056,0000;1096,0000;
9/4/2025;1036,5000;1096,5000;
10/4/2025;1036,7500;1096,7500;
11/4/2025;1037,5000;1097,5000;
14/4/2025;1180,0000;1230,0000;
15/4/2025;1180,0000;1230,0000;
16/4/2025;1110,0000;1160,0000;
21/4/2025;1060,0000;1110,0000;
22/4/2025;1070,0000;1120,0000;
23/4/2025;1120,0000;1170,0000;
24/4/2025;1140,0000;1190,0000;
25/4/2025;1140,0000;1190,0000;
28/4/2025;1140,0000;1190,0000;
29/4/2025;1130,0000;1180,0000;
30/4/2025;1140,0000;1190,0000;
5/5/2025;1160,0000;1210,0000;
6/5/2025;1165,0000;1215,0000;
7/5/2025;1090,0000;1140,0000;
8/5/2025;1080,0000;1130,0000;
9/5/2025;1100,0000;1150,0000;
12/5/2025;1100,0000;1150,0000;
13/5/2025;1100,0000;1150,0000;
14/5/2025;1100,0000;1150,0000;
15/5/2025;1100,0000;1150,0000;
16/5/2025;1110,0000;1160,0000;
19/5/2025;1105,0000;1155,0000;
20/5/2025;1110,0000;1160,0000;
21/5/2025;1110,0000;1160,0000;
22/5/2025;1105,0000;1155,0000;
23/5/2025;1100,0000;1150,0000;
26/5/2025;1110,0000;1160,0000;
27/5/2025;1120,0000;1170,0000;
28/5/2025;1125,0000;1175,0000;
29/5/2025;1145,0000;1195,0000;
30/5/2025;1150,0000;1200,0000;
2/6/2025;1150,0000;1200,0000;
3/6/2025;1150,0000;1200,0000;
4/6/2025;1150,0000;1200,0000;
5/6/2025;1155,0000;1205,0000;
6/6/2025;1150,0000;1200,0000;
9/6/2025;1150,0000;1200,0000;
10/6/2025;1150,0000;1200,0000;
11/6/2025;1150,0000;1200,0000;
12/6/2025;1150,0000;1200,0000;
13/6/2025;1150,0000;1200,0000;
17/6/2025;1135,0000;1185,0000;
18/6/2025;1110,0000;1160,0000;
19/6/2025;1130,0000;1180,0000;
23/6/2025;1135,0000;1185,0000;
24/6/2025;1145,0000;1195,0000;
25/6/2025;1155,0000;1205,0000;
26/6/2025;1155,0000;1205,0000;
27/6/2025;1155,0000;1205,0000;
30/6/2025;1165,0000;1215,0000;
1/7/2025;1185,0000;1235,0000;
2/7/2025;1195,0000;1245,0000;
3/7/2025;1195,0000;1245,0000;
4/7/2025;1210,0000;1260,0000;
7/7/2025;1230,0000;1280,0000;
8/7/2025;1225,0000;1275,0000;
10/7/2025;1225,0000;1275,0000;
11/7/2025;1225,0000;1275,0000;
14/7/2025;1245,0000;1295,0000;
15/7/2025;1230,0000;1280,0000;
16/7/2025;1225,0000;1275,0000;
17/7/2025;1240,0000;1290,0000;
18/7/2025;1250,0000;1300,0000;
21/7/2025;1250,0000;1300,0000;
22/7/2025;1225,0000;1275,0000;
23/7/2025;1225,0000;1275,0000;
24/7/2025;1235,0000;1285,0000;
25/7/2025;1245,0000;1295,0000;
28/7/2025;1255,0000;1305,0000;
29/7/2025;1250,0000;1300,0000;
30/7/2025;1275,0000;1325,0000;
31/7/2025;1330,0000;1380,0000;
1/8/2025;1325,0000;1375,0000;
4/8/2025;1320,0000;1370,0000;
5/8/2025;1300,0000;1350,0000;
6/8/2025;1295,0000;1345,0000;
7/8/2025;1290,0000;1340,0000;
